matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Arbalester vs Champion,10v5,10,5,-98.5,-100,-92.5,-96.25,-96.25,-96.25,2.25,2.25,0,1,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,15v20,15,20,-58.33333333333333,-74.16666666666667,-45.833333333333336,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,20v15,20,15,-94.875,-100,-91.25,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,20v20,20,20,-92.75,-95,-91.25,-68.75,-68.75,-68.75,24,24,22.5,0,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,5v10,5,10,53.71428571428571,51.42857142857143,55.714285714285715,52.857142857142854,52.857142857142854,52.857142857142854,-0.8571428571428541,0.8571428571428541,0,1,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Elite Battle Elephant,10v5,10,5,86.0375,84.75,88.0625,90.1875,90.1875,90.1875,4.150000000000006,4.150000000000006,2.125,0,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,15v20,15,20,96.821875,96.25,97.21875,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,20v15,20,15,92.24166666666667,90.64583333333333,94,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,20v20,20,20,95.990625,95.765625,96.453125,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,5v10,5,10,98.18125,97.96875,98.375,98.5,98.5,98.5,0.3187499999999943,0.3187499999999943,0.125,0,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
